sample_01.wav|This is the first recording for training my personal voice model.
sample_02.wav|Here is a second sentence spoken clearly and at a natural pace.
sample_03.wav|I am reading this line with a calm and steady tone.
sample_04.wav|This sentence helps to diversify the training data for better results.
sample_05.wav|It is useful to record phrases of different lengths for voice training.
sample_06.wav|In this way the model learns natural intonation and speaking rhythm.
sample_07.wav|I am pronouncing each word carefully to improve the overall quality.
sample_08.wav|Preparing a custom voice model requires several minutes of clean audio.
sample_09.wav|This slightly longer sentence helps the model learn the melody of speech.
sample_10.wav|Finally I am recording one more line with a neutral and balanced voice.
